SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
SRR4448180		3d260c0e8610	TSCA_Harliquen	1	TRUE	554762	150
SRR4448181		3dcd809e3ea4	TSCA_Durban_Orange	1	TRUE	912682	150
SRR4448182		3e038f3938f8	TSCA_Blueberry	1	TRUE	567267	150
SRR4448183		3e6e04d9be8d	TSCA_Golden_Goat	1	TRUE	477408	150
SRR4448184		3bce8de0ab5d	TSCA_Tangerine_Haze	1	TRUE	1276031	150
SRR4448185		3c28b22b008f	TSCA_Yummy	1	TRUE	1160619	150
SRR4448186		3cafd164073b	TSCA_Ogv_Kush	1	TRUE	1435284	150
SRR4448187		3cbde82138be	TSCA_Agent_Orange	1	TRUE	633461	150
SRR4448188		3e96673f4015	TSCA_Star_Fighter_F2	1	TRUE	1131981	150
SRR4448189		3ea53d36e2d0	TSCA_Mother_of_Berries	1	TRUE	588094	150
SRR4448190		238b0b9bac80	TSCA_Sunset_Sherbert	1	TRUE	1250204	150
SRR4448191		21e535b0a6ad	TSCA_Sour_Chelumbian	1	TRUE	1740383	150
SRR4448192		21708e2e2e2d	TSCA_Platinum_Cookies	1	TRUE	562807	150
SRR4448193		22aa372ef571	TSCA_Black_Haze	1	TRUE	1122960	150
SRR4448194		22773586a000	TSCA_Plushberry	1	TRUE	901265	151
SRR4448195		1282eeb98f01	TSCA_Columbian_x_Super_Skunk	1	TRUE	1452736	150
SRR4448196		129419ab1e35	TSCA_Mendo_Bubba	1	TRUE	1634419	150
SRR4448197		130e0271d54b	TSCA_Chunky_Skunk	1	TRUE	494960	150
SRR4448198		13d7b4b4a280	TSCA_Casey_Jones	1	TRUE	2166844	150
SRR4448199		13ff6fef47de	TSCA_Purple_Kush	1	TRUE	888011	150
SRR4448200		1414e41f2e39	TSCA_Tanzanian_B	1	TRUE	1198988	150
SRR4448201		14341cf6eff1	TSCA_Headband	1	TRUE	1379779	150
SRR4448202		14fe4ba61dcd	TSCA_Medicine_Women	1	TRUE	979162	150
SRR4448203		155270fbfb4d	TSCA_Kush_Co._OG_Kush	1	TRUE	578599	150
SRR4448204		15985745ae7c	TSCA_Remedy_29_19-2	1	TRUE	1389356	150
SRR4448205		27f13e2ff09e	TSCA_Black_Cherry_Soda	1	TRUE	1472835	150
SRR4448206		387cf8f2caa1	TSCA_Super_Lemon_Haze	1	TRUE	2641178	150
SRR4448207		3875ea26fd94	TSCA_East_Coast_Sour_Diesel_A	1	TRUE	2458844	150
SRR4448208		2700adbe8659	TSCA_Super_Sour_Diesel	1	TRUE	3891392	150
SRR4448209		2534006a2fa0	TSCA_NYC_Diesel_01	1	TRUE	1517515	150
SRR4448210		25d7bc93ba79	TSCA_Tangie	1	TRUE	1965849	150
SRR4448211		39c798c33bcc	TSCA_Inner_Chi	1	TRUE	689432	150
SRR4448212		38d39b565d5c	TSCA_Brain_Freeze	1	TRUE	6376320	149
