SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
SRR447750		CML312SR		1	TRUE	38888888	180
SRR447751		BKN015		1	TRUE	29533801	200
SRR447752		BKN015		2	TRUE	29690491	200
SRR447753		CML418		1	TRUE	38888888	180
SRR447754		CML511		1	TRUE	38888888	180
SRR447755		TIL05		1	TRUE	30971631	152
SRR447756		TIL05		2	TRUE	20289814	168
SRR447757		TIL05		3	TRUE	24458673	152
SRR447758		CML206		1	TRUE	38888888	180
SRR447759		BKN011		1	TRUE	29689720	200
SRR447760		BKN011		2	TRUE	28871665	200
SRR447761		VL056883		1	TRUE	38888888	180
SRR447762		VL05128		1	TRUE	38888888	180
SRR447763		CML202		1	TRUE	38888888	180
SRR447764		H16		1	TRUE	38888888	180
SRR447765		KY21		1	TRUE	12016019	172
SRR447766		KY21		2	TRUE	16703592	172
SRR447767		BKN027		1	TRUE	28808759	200
SRR447768		BKN027		2	TRUE	29121915	200
SRR447769		CAU478		1	TRUE	10000000	150
SRR447770		CAU478		2	TRUE	10000000	150
SRR447771		CAU478		3	TRUE	10000000	121
SRR447772		CAU478		4	TRUE	2297389	150
SRR447773		CAU478		5	TRUE	10000000	150
SRR447774		CAU478		6	TRUE	10000000	150
SRR447775		CAU478		7	TRUE	10000000	150
SRR447776		CAU478		8	TRUE	10000000	88
SRR447777		CAU478		9	TRUE	5585290	150
SRR447778		CAU478		10	TRUE	10000000	150
SRR447779		CAU478		11	TRUE	10000000	146
SRR447780		TIL14		1	TRUE	17884489	168
SRR447781		TIL14		2	TRUE	17292066	160
SRR447782		TIL14		3	TRUE	15413371	168
SRR447783		W64A		1	TRUE	18359141	152
SRR447784		W64A		2	TRUE	17846948	152
SRR447785		W64A		3	TRUE	18629913	152
SRR447786		W64A		4	TRUE	18476804	152
SRR447787		W64A		5	TRUE	18072011	152
SRR447788		W64A		6	TRUE	18382368	152
SRR447789		W64A		7	TRUE	18834211	152
SRR447790		W64A		8	TRUE	18572398	152
SRR447791		W64A		9	TRUE	18324852	152
SRR447792		W64A		10	TRUE	18658412	152
SRR447793		W64A		11	TRUE	18627779	152
