sid	passed_filter_reads	low_quality_reads	too_many_N_reads	too_short_reads	too_long_reads
SRR4448180	1068666	40742	86	30	0
SRR4448181	1756388	68820	128	28	0
SRR4448182	1089882	44594	24	34	0
SRR4448183	920278	34452	64	22	0
SRR4448184	2460260	90364	440	998	0
SRR4448185	2225456	95528	94	160	0
SRR4448186	2739644	129652	634	638	0
SRR4448187	1215502	51390	10	20	0
SRR4448188	2172352	89706	1100	804	0
SRR4448189	1134646	40926	218	398	0
SRR4448190	2413874	86026	420	88	0
SRR4448191	3343050	136910	550	256	0
SRR4448192	1086782	38558	238	36	0
SRR4448193	2162118	83208	444	150	0
SRR4448194	1730124	72354	30	22	0
SRR4448195	2773156	130712	1558	46	0
SRR4448196	3134860	130750	1616	1612	0
SRR4448197	942954	43456	278	3232	0
SRR4448198	4129842	202494	1024	328	0
SRR4448199	1698146	76972	794	110	0
SRR4448200	2295260	101252	120	1344	0
SRR4448201	2644364	114978	132	84	0
SRR4448202	1856766	100998	496	64	0
SRR4448203	1116782	39958	186	272	0
SRR4448204	2661082	116028	1328	274	0
SRR4448205	2817670	124500	50	3450	0
SRR4448206	5106742	175478	88	48	0
SRR4448207	4721614	195408	208	458	0
SRR4448208	7202568	579502	616	98	0
SRR4448209	2914190	120596	182	62	0
SRR4448210	3743606	187148	898	46	0
SRR4448211	1324538	54054	16	256	0
SRR4448212	12274256	452362	2772	23250	0
SRR4448213	1117626	49776	84	418	0
SRR4448214	1472328	54784	284	72	0
SRR4448215	1865064	81320	932	120	0
SRR4448216	1115520	44042	20	66	0
SRR4448217	3017458	135756	124	42	0
SRR4448218	6874684	591350	604	78	0
SRR4448219	1485392	64418	50	24	0
SRR4448220	6895570	630958	556	130	0
SRR4448221	1680218	61654	936	514	0
SRR4448222	2757454	122550	126	144	0
SRR4448223	2740196	120214	500	140	0
SRR4448224	2059530	98044	472	166	0
SRR4448225	2577920	123920	584	178	0
SRR4448226	1608258	72440	20	354	0
SRR4448227	1752998	77866	448	874	0
SRR4448228	1567780	67702	32	158	0
SRR4448229	1705468	65650	138	184	0
SRR4448230	1209580	47410	660	804	0
SRR4448231	3695860	148968	2002	310	0
SRR4448232	3082506	171924	778	14	0
SRR4448233	2224904	111838	572	28	0
SRR4448234	1348166	53798	94	26	0
SRR4448235	7769460	620078	688	216	0
SRR4448236	2737256	109452	510	72	0
SRR4448237	4172538	180862	84	954	0
SRR4448238	2390434	103078	118	324	0
SRR4448239	3003850	123870	596	116	0
SRR4448240	1774718	76296	1032	676	0
SRR4448241	2239998	92092	48	152	0
SRR4448242	5517912	254440	1390	706	0
