Genotype	inbred	sid	sid1	sid2	records	no_ALTs	SNPs	indels	MNPs	others	multiallelic	multiallelic_SNP
AS5707	TRUE	dn18a#AS5707			6295152	0	6295152	0	0	0	0	0
B73	TRUE	dn19a#B73			6324439	0	6324439	0	0	0	0	0
B84	TRUE	dn18a#B84			3566484	0	3566484	0	0	0	0	0
CR1HT	TRUE	dn18a#CR1Ht			6250473	0	6250473	0	0	0	0	0
DKHBA1	TRUE	dn18a#DKHBA1			6185387	0	6185387	0	0	0	0	0
LH123HT	TRUE	dn18a#LH123Ht			5777922	0	5777922	0	0	0	0	0
LH145	TRUE	dn18a#LH145			5101054	0	5101054	0	0	0	0	0
LH156	TRUE	dn18a#LH156			6080859	0	6080859	0	0	0	0	0
LH85	TRUE	dn18a#LH85			6534504	0	6534504	0	0	0	0	0
LH93	TRUE	dn18a#LH93			6548546	0	6548546	0	0	0	0	0
MO17	TRUE	dn18a#Mo17			6324439	0	6324439	0	0	0	0	0
MO44	TRUE	dn18a#Mo44			5266020	0	5266020	0	0	0	0	0
MO45	TRUE	dn18a#Mo45			6563076	0	6563076	0	0	0	0	0
MOG	TRUE	dn18a#MoG			6382021	0	6382021	0	0	0	0	0
NC230	TRUE	dn18a#NC230			6304454	0	6304454	0	0	0	0	0
NKH8431	TRUE	dn18a#NKH8431			4456272	0	4456272	0	0	0	0	0
OH43	TRUE	dn18a#Oh43			6305909	0	6305909	0	0	0	0	0
PH207	TRUE	dn18a#PH207			5722092	0	5722092	0	0	0	0	0
PHB47	TRUE	dn18a#PHB47			5628689	0	5628689	0	0	0	0	0
PHG29	TRUE	dn18a#PHG29			6157507	0	6157507	0	0	0	0	0
PHG35	TRUE	dn18a#PHG35			5786452	0	5786452	0	0	0	0	0
PHG39	TRUE	dn18a#PHG39			5611230	0	5611230	0	0	0	0	0
PHG47	TRUE	dn18a#PHG47			6215063	0	6215063	0	0	0	0	0
PHG50	TRUE	dn18a#PHG50			6265607	0	6265607	0	0	0	0	0
PHG72	TRUE	dn18a#PHG72			4539298	0	4539298	0	0	0	0	0
PHG83	TRUE	dn18a#PHG83			948917	0	948917	0	0	0	0	0
PHJ40	TRUE	dn18a#PHJ40			6029962	0	6029962	0	0	0	0	0
PHN11	TRUE	dn18a#PHN11			6045975	0	6045975	0	0	0	0	0
PHW65	TRUE	dn18a#PHW65			6304505	0	6304505	0	0	0	0	0
B73xMO17	FALSE		dn19a#B73	dn18a#Mo17	6324439	0	6324439	0	0	0	0	0
B73xOH43	FALSE		dn19a#B73	dn18a#Oh43	6305909	0	6305909	0	0	0	0	0
B73xPH207	FALSE		dn19a#B73	dn18a#PH207	5722092	0	5722092	0	0	0	0	0
B73xW22	FALSE		dn19a#B73	dn17b#W22	3262413	0	3262413	0	0	0	0	0
B84xB73	FALSE		dn18a#B84	dn19a#B73	3566484	0	3566484	0	0	0	0	0
B84xMO17	FALSE		dn18a#B84	dn18a#Mo17	5861055	0	5861055	0	0	0	0	0
B84xPH207	FALSE		dn18a#B84	dn18a#PH207	5266675	0	5266675	0	0	0	0	0
CR1HTxB73	FALSE		dn18a#CR1Ht	dn19a#B73	6250473	0	6250473	0	0	0	0	0
CR1HTxMO17	FALSE		dn18a#CR1Ht	dn18a#Mo17	2102088	0	2102088	0	0	0	0	0
CR1HTxPH207	FALSE		dn18a#CR1Ht	dn18a#PH207	4932249	0	4932249	0	0	0	0	0
LH123HTxB73	FALSE		dn18a#LH123Ht	dn19a#B73	5777922	0	5777922	0	0	0	0	0
LH123HTxMO17	FALSE		dn18a#LH123Ht	dn18a#Mo17	4203553	0	4203553	0	0	0	0	0
LH123HTxPH207	FALSE		dn18a#LH123Ht	dn18a#PH207	5014403	0	5014403	0	0	0	0	0
LH145xB73	FALSE		dn18a#LH145	dn19a#B73	5101054	0	5101054	0	0	0	0	0
LH145xMO17	FALSE		dn18a#LH145	dn18a#Mo17	5568495	0	5568495	0	0	0	0	0
LH145xPH207	FALSE		dn18a#LH145	dn18a#PH207	4962271	0	4962271	0	0	0	0	0
LH156xB73	FALSE		dn18a#LH156	dn19a#B73	6080859	0	6080859	0	0	0	0	0
LH156xMO17	FALSE		dn18a#LH156	dn18a#Mo17	5315046	0	5315046	0	0	0	0	0
LH85xB73	FALSE		dn18a#LH85	dn19a#B73	6534504	0	6534504	0	0	0	0	0
LH85xMO17	FALSE		dn18a#LH85	dn18a#Mo17	5579256	0	5579256	0	0	0	0	0
LH85xPH207	FALSE		dn18a#LH85	dn18a#PH207	5093130	0	5093130	0	0	0	0	0
LH93xB73	FALSE		dn18a#LH93	dn19a#B73	6548546	0	6548546	0	0	0	0	0
LH93xMO17	FALSE		dn18a#LH93	dn18a#Mo17	5237805	0	5237805	0	0	0	0	0
LH93xPH207	FALSE		dn18a#LH93	dn18a#PH207	5205268	0	5205268	0	0	0	0	0
MO17xB73	FALSE		dn18a#Mo17	dn19a#B73	6324439	0	6324439	0	0	0	0	0
MO17xOH43	FALSE		dn18a#Mo17	dn18a#Oh43	5405701	0	5405701	0	0	0	0	0
MO17xPH207	FALSE		dn18a#Mo17	dn18a#PH207	5032602	0	5032602	0	0	0	0	0
MO17xPHG29	FALSE		dn18a#Mo17	dn18a#PHG29	5156806	0	5156806	0	0	0	0	0
MO44xB73	FALSE		dn18a#Mo44	dn19a#B73	5266020	0	5266020	0	0	0	0	0
MO44xMO17	FALSE		dn18a#Mo44	dn18a#Mo17	4786552	0	4786552	0	0	0	0	0
MO45xB73	FALSE		dn18a#Mo45	dn19a#B73	6563076	0	6563076	0	0	0	0	0
MO45xMO17	FALSE		dn18a#Mo45	dn18a#Mo17	5363132	0	5363132	0	0	0	0	0
MO45xPH207	FALSE		dn18a#Mo45	dn18a#PH207	5309725	0	5309725	0	0	0	0	0
MOGxB73	FALSE		dn18a#MoG	dn19a#B73	6382021	0	6382021	0	0	0	0	0
MOGxMO17	FALSE		dn18a#MoG	dn18a#Mo17	5505053	0	5505053	0	0	0	0	0
NC230xB73	FALSE		dn18a#NC230	dn19a#B73	6304454	0	6304454	0	0	0	0	0
NC230xMO17	FALSE		dn18a#NC230	dn18a#Mo17	5350451	0	5350451	0	0	0	0	0
NC230xPH207	FALSE		dn18a#NC230	dn18a#PH207	5308426	0	5308426	0	0	0	0	0
NKH8431xB73	FALSE		dn18a#NKH8431	dn19a#B73	4456272	0	4456272	0	0	0	0	0
NKH8431xMO17	FALSE		dn18a#NKH8431	dn18a#Mo17	5651518	0	5651518	0	0	0	0	0
NKH8431xPH207	FALSE		dn18a#NKH8431	dn18a#PH207	5186234	0	5186234	0	0	0	0	0
OH43xB73	FALSE		dn18a#Oh43	dn19a#B73	6305909	0	6305909	0	0	0	0	0
OH43xMO17	FALSE		dn18a#Oh43	dn18a#Mo17	5405701	0	5405701	0	0	0	0	0
OH43xPH207	FALSE		dn18a#Oh43	dn18a#PH207	5247558	0	5247558	0	0	0	0	0
PH207xB73	FALSE		dn18a#PH207	dn19a#B73	5722092	0	5722092	0	0	0	0	0
PH207xMO17	FALSE		dn18a#PH207	dn18a#Mo17	5032602	0	5032602	0	0	0	0	0
PH207xW22	FALSE		dn18a#PH207	dn17b#W22	3095546	0	3095546	0	0	0	0	0
PHB47xB73	FALSE		dn18a#PHB47	dn19a#B73	5628689	0	5628689	0	0	0	0	0
PHB47xMO17	FALSE		dn18a#PHB47	dn18a#Mo17	5689911	0	5689911	0	0	0	0	0
