Genotype	inbred	sid	sid1	sid2
B73	TRUE	dn14a#B73		
MO17	TRUE	dn18a#Mo17		
PH207	TRUE	dn18a#PH207		
OH43	TRUE	dn18a#Oh43		
B84	TRUE	dn18a#B84		
CR1HT	TRUE	dn18a#CR1Ht		
LH123HT	TRUE	dn18a#LH123Ht		
LH145	TRUE	dn18a#LH145		
LH156	TRUE	dn18a#LH156		
LH85	TRUE	dn18a#LH85		
LH93	TRUE	dn18a#LH93		
MO45	TRUE	dn18a#Mo45		
MOG	TRUE	dn18a#MoG		
NC230	TRUE	dn18a#NC230		
NKH8431	TRUE	dn18a#NKH8431		
PHB47	TRUE	dn18a#PHB47		
PHG29	TRUE	dn18a#PHG29		
PHG39	TRUE	dn18a#PHG39		
PHG47	TRUE	dn18a#PHG47		
PHG50	TRUE	dn18a#PHG50		
PHG72	TRUE	dn18a#PHG72		
PHG83	TRUE	dn18a#PHG83		
PHJ40	TRUE	dn18a#PHJ40		
PHN11	TRUE	dn18a#PHN11		
PHW65	TRUE	dn18a#PHW65		
AS5707	TRUE	dn18a#AS5707		
DKHBA1	TRUE	dn18a#DKHBA1		
PHG35	TRUE	dn18a#PHG35		
MO44	TRUE	dn18a#Mo44		
B73xMO17	FALSE		dn14a#B73	dn18a#Mo17
B73xPH207	FALSE		dn14a#B73	dn18a#PH207
MO17xB73	FALSE		dn18a#Mo17	dn14a#B73
B73xOH43	FALSE		dn14a#B73	dn18a#Oh43
LH145xMO17	FALSE		dn18a#LH145	dn18a#Mo17
LH156xB73	FALSE		dn18a#LH156	dn14a#B73
NC230xB73	FALSE		dn18a#NC230	dn14a#B73
LH156xMO17	FALSE		dn18a#LH156	dn18a#Mo17
MO17xPHG29	FALSE		dn18a#Mo17	dn18a#PHG29
MO44xMO17	FALSE		dn18a#Mo44	dn18a#Mo17
PHG47xB73	FALSE		dn18a#PHG47	dn14a#B73
PHW65xB73	FALSE		dn18a#PHW65	dn14a#B73
B84xMO17	FALSE		dn18a#B84	dn18a#Mo17
B84xPH207	FALSE		dn18a#B84	dn18a#PH207
CR1HTxB73	FALSE		dn18a#CR1Ht	dn14a#B73
CR1HTxMO17	FALSE		dn18a#CR1Ht	dn18a#Mo17
CR1HTxPH207	FALSE		dn18a#CR1Ht	dn18a#PH207
LH123HTxB73	FALSE		dn18a#LH123Ht	dn14a#B73
LH123HTxPH207	FALSE		dn18a#LH123Ht	dn18a#PH207
LH145xB73	FALSE		dn18a#LH145	dn14a#B73
LH145xPH207	FALSE		dn18a#LH145	dn18a#PH207
LH85xB73	FALSE		dn18a#LH85	dn14a#B73
LH85xMO17	FALSE		dn18a#LH85	dn18a#Mo17
LH85xPH207	FALSE		dn18a#LH85	dn18a#PH207
LH93xB73	FALSE		dn18a#LH93	dn14a#B73
LH93xMO17	FALSE		dn18a#LH93	dn18a#Mo17
LH93xPH207	FALSE		dn18a#LH93	dn18a#PH207
MO45xB73	FALSE		dn18a#Mo45	dn14a#B73
MO45xPH207	FALSE		dn18a#Mo45	dn18a#PH207
NC230xMO17	FALSE		dn18a#NC230	dn18a#Mo17
NKH8431xMO17	FALSE		dn18a#NKH8431	dn18a#Mo17
NKH8431xPH207	FALSE		dn18a#NKH8431	dn18a#PH207
OH43xPH207	FALSE		dn18a#Oh43	dn18a#PH207
PH207xB73	FALSE		dn18a#PH207	dn14a#B73
PH207xMO17	FALSE		dn18a#PH207	dn18a#Mo17
PHB47xB73	FALSE		dn18a#PHB47	dn14a#B73
PHB47xMO17	FALSE		dn18a#PHB47	dn18a#Mo17
PHB47xPH207	FALSE		dn18a#PHB47	dn18a#PH207
PHG29xB73	FALSE		dn18a#PHG29	dn14a#B73
PHG29xMO17	FALSE		dn18a#PHG29	dn18a#Mo17
PHG29xPH207	FALSE		dn18a#PHG29	dn18a#PH207
PHG35xMO17	FALSE		dn18a#PHG35	dn18a#Mo17
PHG35xPH207	FALSE		dn18a#PHG35	dn18a#PH207
PHG39xB73	FALSE		dn18a#PHG39	dn14a#B73
PHG39xMO17	FALSE		dn18a#PHG39	dn18a#Mo17
PHG47xMO17	FALSE		dn18a#PHG47	dn18a#Mo17
PHG47xPH207	FALSE		dn18a#PHG47	dn18a#PH207
PHG50xPH207	FALSE		dn18a#PHG50	dn18a#PH207
PHG72xB73	FALSE		dn18a#PHG72	dn14a#B73
PHG72xMO17	FALSE		dn18a#PHG72	dn18a#Mo17
