Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR5725694,2017-07-31 00:03:09,2017-06-21 17:00:09,48798415,14639524500,48798415,300,3669,assembly,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005591/SRR5725694,SRX2941798,4722_HLCY2CCXX_L3,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP108889,PRJNA389800,,389800,SRS2266974,SAMN07209402,simple,4577,Zea mays,282set_4722,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA578625,,public,E288E8D144E5AF013AF6641153210775,4A2F0BDEAB0A371E629E10F67026BEF9
SRR5725629,2017-07-31 00:03:10,2017-06-21 16:45:22,19357617,5807285100,19357617,300,1875,assembly,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005591/SRR5725629,SRX2941863,A6_HLC27CCXX_L2,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP108889,PRJNA389800,,389800,SRS2266928,SAMN07209409,simple,4577,Zea mays,282set_A6,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA578625,,public,2E4B9A5EF1012513A3C8B838CA3F70BD,5FD15FD942F7FE5CB144D5B10DA7A2D3
SRR5725670,2017-07-31 00:03:09,2017-06-21 17:13:18,36459891,10937967300,36459891,300,2667,assembly,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005591/SRR5725670,SRX2941822,A619_HL5WNCCXX_L3,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP108889,PRJNA389800,,389800,SRS2266809,SAMN07209410,simple,4577,Zea mays,282set_A619,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA578625,,public,ADBED07B4019E2825FB8DD13BD206E80,E6A097F30F53E0DE660814FE16CA7703
SRR5725669,2017-07-31 00:03:09,2017-06-21 17:10:15,42683855,12805156500,42683855,300,3246,assembly,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005591/SRR5725669,SRX2941823,A632_HL5WNCCXX_L5,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP108889,PRJNA389800,,389800,SRS2266807,SAMN07209411,simple,4577,Zea mays,282set_A632,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA578625,,public,3C98FE6F4FD8DC1CC5C699E750033D25,7E30A1B4C7CC71CB3483CBF1CD993C69
SRR5725672,2017-07-31 00:03:09,2017-06-21 17:01:36,42607776,12782332800,42607776,300,2946,assembly,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005591/SRR5725672,SRX2941820,A634_HLCY2CCXX_L7,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP108889,PRJNA389800,,389800,SRS2266808,SAMN07209412,simple,4577,Zea mays,282set_A634,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA578625,,public,27B1C858A40BAD7F41667CEE90C3FD3D,297336532D42AA1606E117C459BA2280
SRR5725671,2017-07-31 00:03:09,2017-06-21 16:56:23,30250914,9075274200,30250914,300,2229,assembly,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005591/SRR5725671,SRX2941821,A635_HLCY2CCXX_L7,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP108889,PRJNA389800,,389800,SRS2266813,SAMN07209413,simple,4577,Zea mays,282set_A635,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA578625,,public,212B2135EE180F3D6FD64B3AE58D3DF9,32EE0A4A25C57A054DEB6DA1A53CE008
SRR5725666,2017-07-31 00:03:09,2017-06-21 16:57:35,50596390,15178917000,50596390,300,3741,assembly,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005591/SRR5725666,SRX2941826,A641_HLCY2CCXX_L4,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP108889,PRJNA389800,,389800,SRS2267003,SAMN07209414,simple,4577,Zea mays,282set_A641,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA578625,,public,8AB4B5961F7316A816C793B836633D68,6BCA9D12D497F339E8B849079329F022
SRR5725665,2017-07-31 00:03:09,2017-06-21 16:57:38,40007401,12002220300,40007401,300,3033,assembly,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005591/SRR5725665,SRX2941827,A654_HLCY2CCXX_L4,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP108889,PRJNA389800,,389800,SRS2267001,SAMN07209415,simple,4577,Zea mays,282set_A654,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA578625,,public,20DA9D683B914C1914B2443DC7EE1CDD,A0D52A49DCB285AF72D45B4D2C329676
SRR5725668,2017-07-31 00:03:09,2017-06-21 16:50:39,27161760,8148528000,27161760,300,2217,assembly,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005591/SRR5725668,SRX2941824,A659_HLCY2CCXX_L4,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP108889,PRJNA389800,,389800,SRS2267002,SAMN07209416,simple,4577,Zea mays,282set_A659,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA578625,,public,70E1402169A414CC14D4E6464DC4A900,61F8CC3A27AAE49064DC4129C9E92502
SRR5725667,2017-07-31 00:03:09,2017-06-21 16:54:22,20895832,6268749600,20895832,300,1906,assembly,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005591/SRR5725667,SRX2941825,A661_HLC27CCXX_L4,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP108889,PRJNA389800,,389800,SRS2267005,SAMN07209417,simple,4577,Zea mays,282set_A661,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA578625,,public,9A6192E4AB2D313901D83FCFD787AEE0,E3E937276A8D4AFC7A5DBFBB7898A0B3
SRR5725663,2017-07-31 00:03:09,2017-06-21 17:06:17,40051990,12015597000,40051990,300,2611,assembly,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005591/SRR5725663,SRX2941829,A679_HL5WNCCXX_L3,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP108889,PRJNA389800,,389800,SRS2267004,SAMN07209418,simple,4577,Zea mays,282set_A679,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA578625,,public,204A29FAB0D2BD55E05793A31101E6D1,E8530BCBF6A2A7D00539694BB3568C0A
SRR5725662,2017-07-31 00:03:09,2017-06-21 16:59:40,39628110,11888433000,39628110,300,2477,assembly,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005591/SRR5725662,SRX2941830,A680_HL5WNCCXX_L4,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP108889,PRJNA389800,,389800,SRS2267000,SAMN07209419,simple,4577,Zea mays,282set_A680,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA578625,,public,06A939A6E17993B502514DB1830D973E,07C169A32CB1F2BE08B2F41E2BE3B5C1
SRR5725930,2017-07-31 00:03:10,2017-06-21 18:49:18,40410727,12123218100,40410727,300,2867,assembly,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005591/SRR5725930,SRX2941864,A682_HLCY2CCXX_L8,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP108889,PRJNA389800,,389800,SRS2266934,SAMN07209420,simple,4577,Zea mays,282set_A682,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA578625,,public,7F0455F3367B188DCD4DFDCF77C055D9,6FB784FCFDE128C921E737C69B1D08C4
SRR5725630,2017-07-31 00:03:10,2017-06-21 16:46:23,20461351,6138405300,20461351,300,1820,assembly,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/005591/SRR5725630,SRX2941862,Ab28A_HLC27CCXX_L7,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP108889,PRJNA389800,,389800,SRS2266932,SAMN07209421,simple,4577,Zea mays,282set_Ab28A,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA578625,,public,600BC2F1BBC4C6B4E7A2BEF0A9185400,D88D3F5E9055606B3543FAFEC16DAE32
