Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR447984,2012-05-22 00:00:00,2012-08-11 23:10:29,17672614,2686237328,17672614,152,1502,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000437/SRR447984,SRX131321,B73_library,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011907,,,0,SRS302387,SAMN00839325,simple,4577,Zea mays,B73-1,,,,,,,no,,,,,,SRA051245,,public,E1A28C1CD27FC8D482182E3961AFD974,61284E92EA6F1DBFBC2653E6A4CEAA57
SRR447985,2012-05-22 00:00:00,2012-08-11 23:10:03,17608427,1338240452,0,76,759,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000437/SRR447985,SRX131322,B73_library,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011907,,,0,SRS302387,SAMN00839325,simple,4577,Zea mays,B73-1,,,,,,,no,,,,,,SRA051245,,public,57BBD94FA626EC2512F7747F694A976A,3563EDC038CE30E5BEB8AD96871D29B9
SRR447986,2012-05-22 00:00:00,2012-08-11 23:10:16,11314591,1719817832,11314591,152,1128,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000437/SRR447986,SRX131323,B73_library,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011907,,,0,SRS302387,SAMN00839325,simple,4577,Zea mays,B73-1,,,,,,,no,,,,,,SRA051245,,public,217956A44D08269023F16C2DCC3507F7,8723FF3A977DFFA9DDE2DE1FDB515CE9
SRR447957,2012-05-22 00:00:00,2012-08-11 23:10:14,20377986,5094496500,20377986,250,3254,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000437/SRR447957,SRX131294,B97_library,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011907,,,0,SRS302388,SAMN00839326,simple,4577,Zea mays,B97-1,,,,,,,no,,,,,,SRA051245,,public,8C063802FA9EF9A3EB357C5CB33D337A,6DC59DBEA12535BA0D33BE8549C284E0
SRR447958,2012-05-22 00:00:00,2012-08-11 23:08:45,17010645,2925830940,17010645,172,1896,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000437/SRR447958,SRX131295,B97_library,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011907,,,0,SRS302388,SAMN00839326,simple,4577,Zea mays,B97-1,,,,,,,no,,,,,,SRA051245,,public,8C099412544BDCD241BB80A759226064,A3CC2AC96E8A320AA4B4C4AD119B1D18
SRR447959,2012-05-22 00:00:00,2012-08-11 23:09:20,18319069,3077603592,18319069,168,2050,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000437/SRR447959,SRX131296,B97_library,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011907,,,0,SRS302388,SAMN00839326,simple,4577,Zea mays,B97-1,,,,,,,no,,,,,,SRA051245,,public,A903EE067077FB13061AA6704EB18406,E0618C21B08DABEC3C2180157C55590C
SRR447942,2012-05-22 00:00:00,2012-08-11 23:09:26,29024280,5804856000,29024280,200,2908,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000437/SRR447942,SRX131279,BKN009_library,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011907,,,0,SRS302389,SAMN00839327,simple,4577,Zea mays,BKN009,,,,,,,no,,,,,,SRA051245,,public,50DEB9BABD6911326F4E61CD102403CE,34D846798EFDCA2CC93C71C2D615972B
SRR447943,2012-05-22 00:00:00,2012-08-11 23:09:11,28348831,5669766200,28348831,200,2722,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000437/SRR447943,SRX131280,BKN009_library,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011907,,,0,SRS302389,SAMN00839327,simple,4577,Zea mays,BKN009,,,,,,,no,,,,,,SRA051245,,public,A0F0DD86DB4474A741A80B209F322EFC,EB801FE450B5A826DC93C6329AE3AE71
SRR447940,2012-05-22 00:00:00,2012-08-11 23:09:05,28847684,5769536800,28847684,200,2747,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000437/SRR447940,SRX131277,BKN010_library,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011907,,,0,SRS302390,SAMN00839328,simple,4577,Zea mays,BKN010,,,,,,,no,,,,,,SRA051245,,public,70B0A35D3F40DB661C36668CD0D1EC79,E113A1582707112DE8CBC85BA98342E7
SRR447941,2012-05-22 00:00:00,2012-08-11 23:09:25,27112512,5422502400,27112512,200,2670,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000437/SRR447941,SRX131278,BKN010_library,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011907,,,0,SRS302390,SAMN00839328,simple,4577,Zea mays,BKN010,,,,,,,no,,,,,,SRA051245,,public,738A184E22395D874A51A5455B5551BF,CBDE57E7603BC4AC2671C40BC5DE5412
SRR447994,2012-05-22 00:00:00,2012-08-11 23:11:31,26099177,5219835400,26099177,200,2429,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/000437/SRR447994,SRX131331,BKN018_library,WGS,RANDOM,GENOMIC,PAIRED,250,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP011907,,,0,SRS302396,SAMN00839334,simple,4577,Zea mays,BKN018,,,,,,,no,,,,,,SRA051245,,public,480887FD87CE00EBD3EEEC6B5D3E5DBF,4C01D4C1506FAF24320C0C55BEFCACEF
