Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR4451212,2016-10-26 10:27:18,2016-10-26 09:25:31,872134,131663538,872134,150,45,,https://sra-download.ncbi.nlm.nih.gov/traces/sra12/SRR/004346/SRR4451212,SRX2269259,00bec7df53c3-TSCA,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP092005,PRJNA347566,,347566,SRS1760375,SAMN05937514,simple,3483,Cannabis sativa,00bec7df53c3-TSCA_SFV,,,,,,,no,,,,,PHYLOS BIOSCIENCE,SRA486992,,public,039ED55D062E37D6DB16FE87F453AF73,7D352AFA713F682F5F3BA00A46004276
SRR4451146,2016-10-26 10:27:18,2016-10-26 09:23:11,995478,150260220,995478,150,51,,https://sra-download.ncbi.nlm.nih.gov/traces/sra7/SRR/004346/SRR4451146,SRX2269193,01059b967ddc-TSCA,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP092005,PRJNA347566,,347566,SRS1760309,SAMN05937515,simple,3483,Cannabis sativa,01059b967ddc-TSCA_Land_of_Smiles,,,,,,,no,,,,,PHYLOS BIOSCIENCE,SRA486992,,public,8920BF7EC1FF5EC6021470F68192AB71,0FF61838A8875A81D5A348DEC2ECDCAC
SRR4451201,2016-10-26 10:27:18,2016-10-26 09:26:23,2130322,321574956,2130322,150,116,,https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/004346/SRR4451201,SRX2269248,048ac968829d-TSCA,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP092005,PRJNA347566,,347566,SRS1760364,SAMN05937521,simple,3483,Cannabis sativa,048ac968829d-TSCA_Pink_Champagne,,,,,,,no,,,,,PHYLOS BIOSCIENCE,SRA486992,,public,D0E0C805ED5653C89902533B303359C9,FBCCA10E98C6A3D325BB1E394A2123E8
SRR4451168,2016-10-26 10:27:18,2016-10-26 09:27:22,4987128,752314590,4987128,150,341,,https://sra-download.ncbi.nlm.nih.gov/traces/sra7/SRR/004346/SRR4451168,SRX2269215,06be5d21b37a-TSCA,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP092005,PRJNA347566,,347566,SRS1760330,SAMN05937524,simple,3483,Cannabis sativa,06be5d21b37a-TSCA_GSC,,,,,,,no,,,,,PHYLOS BIOSCIENCE,SRA486992,,public,9C0C75DD37FE59F80017CF879A7849F4,DD14AB5D7DBDFE65F625662446F3097D
SRR4451167,2016-10-26 10:27:18,2016-10-26 09:23:48,872358,131691090,872358,150,46,,https://sra-download.ncbi.nlm.nih.gov/traces/sra13/SRR/004346/SRR4451167,SRX2269214,0725b1602871-TSCA,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP092005,PRJNA347566,,347566,SRS1760332,SAMN05937525,simple,3483,Cannabis sativa,0725b1602871-TSCA_Skunk_Haze,,,,,,,no,,,,,PHYLOS BIOSCIENCE,SRA486992,,public,8858F82E41353E130291C8E429641A76,1968FC6E3D693F8B80D9711F1A1DB42B
SRR4451170,2016-10-26 10:27:18,2016-10-26 09:24:07,1317338,198858266,1317338,150,71,,https://sra-download.ncbi.nlm.nih.gov/traces/sra5/SRR/004346/SRR4451170,SRX2269217,074740721a80-TSCA,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP092005,PRJNA347566,,347566,SRS1760333,SAMN05937526,simple,3483,Cannabis sativa,074740721a80-TSCA_Hazy_Train,,,,,,,no,,,,,PHYLOS BIOSCIENCE,SRA486992,,public,638B27EE02E6808F672F74E09D29EB01,96633FEC920B8DEAF592B1103534765D
SRR4451169,2016-10-26 10:27:18,2016-10-26 09:24:23,1134376,171250639,1134376,150,59,,https://sra-download.ncbi.nlm.nih.gov/traces/sra7/SRR/004346/SRR4451169,SRX2269216,07fc3313ad7b-TSCA,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP092005,PRJNA347566,,347566,SRS1760331,SAMN05937527,simple,3483,Cannabis sativa,07fc3313ad7b-TSCA_Star_Trek,,,,,,,no,,,,,PHYLOS BIOSCIENCE,SRA486992,,public,05ADB06DF419116BB6D679D96F44647E,0FDF7DEB4BF1516ABDB53D379F5FBCE2
SRR4451172,2016-10-26 10:27:18,2016-10-26 09:23:36,677882,102323833,677882,150,34,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/004346/SRR4451172,SRX2269219,083de5be65cf-TSCA,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP092005,PRJNA347566,,347566,SRS1760335,SAMN05937528,simple,3483,Cannabis sativa,083de5be65cf-TSCA_C-Rex,,,,,,,no,,,,,PHYLOS BIOSCIENCE,SRA486992,,public,8A02436C0080D147F754ACFD2101F849,0AEA4FA7DAF9743D5627FF755D79152B
SRR4451171,2016-10-26 10:27:18,2016-10-26 09:23:51,651009,97938965,651009,150,33,,https://sra-download.ncbi.nlm.nih.gov/traces/sra6/SRR/004346/SRR4451171,SRX2269218,087d00b5e68e-TSCA,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP092005,PRJNA347566,,347566,SRS1760334,SAMN05937529,simple,3483,Cannabis sativa,087d00b5e68e-TSCA_AC/DC,,,,,,,no,,,,,PHYLOS BIOSCIENCE,SRA486992,,public,99CFBD2880A6D954662EC2EEBEDD92E4,DECA38BF1EBD5BAFC17E374A21C0C7F0
SRR4451174,2016-10-26 10:27:18,2016-10-26 09:24:06,1127032,170112886,1127032,150,61,,https://sra-download.ncbi.nlm.nih.gov/traces/sra4/SRR/004346/SRR4451174,SRX2269221,08e77c346ad8-TSCA,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP092005,PRJNA347566,,347566,SRS1760337,SAMN05937530,simple,3483,Cannabis sativa,08e77c346ad8-TSCA_Sour_Queen,,,,,,,no,,,,,PHYLOS BIOSCIENCE,SRA486992,,public,B5CAC88EBF69C2F4028D9328AB3C90CD,F8E541DE54C19D796F1E753F4968BC2D
